id;codigo;monto;monto_pagado;fecha;codigo_documento;glosa;comprobante;foto_comprobante;foto_comprobante_content_type;tipo_de_documento_de_venta_id;tipo_de_pago_id
1;undefined-000001;2.36;2.36;2019-02-15;2005;null;null;null;null;1;1
2;undefined-000001;2.36;1;2019-02-15;2005;null;null;null;null;2;1
3;undefined-000002;2.36;2.36;2019-02-15;2005;null;null;null;null;2;1
4;undefined-000003;2.36;2.36;2019-02-16;2005;null;null;null;null;2;1
5;[object Object]-000004;2.36;2.36;2019-02-16;2005;null;null;null;null;2;1
6;[object Object]-000005;2.36;2.36;2019-02-16;2005;null;null;null;null;2;1
7;B001-000006;2.36;2.36;2019-02-16;2005;null;null;null;null;2;1
8;B001-000007;2.36;1.3599999999999999;2019-02-16;2005;null;null;null;null;2;1
9;B001-0000040;69.62;20;2019-02-16;2005;null;null;null;null;2;1
10;B001-000009;3.54;3.54;2019-02-16;2005;null;null;null;null;2;1
11;B001-0000010;2.36;2.36;2019-02-16;2005;null;null;null;null;2;1
12;B001-0000011;2.36;2.36;2019-02-16;2005;null;null;null;null;2;1
13;B001-0000012;2.36;2.36;2019-02-16;2005;null;null;null;null;2;1
14;B001-0000013;64.9;64.9;2019-02-16;2005;null;null;null;null;2;1
15;B001-0000014;64.9;64.9;2019-02-16;2005;null;null;null;null;2;1
16;B001-0000015;2.36;2.36;2019-02-16;2005;null;null;null;null;2;1
17;B001-0000016;2.36;2.36;2019-02-16;2005;null;null;null;null;2;1
18;B001-0000017;2.36;2.36;2019-02-16;2005;null;null;null;null;2;1
19;B001-0000018;2.36;2.36;2019-02-16;2005;null;null;null;null;2;1
20;B001-0000019;123.9;123.9;2019-02-16;2005;null;null;null;null;2;1
21;B001-0000020;2.36;2.36;2019-02-17;"";null;null;null;null;2;1
22;B001-0000021;177;1;2019-02-17;"";null;null;null;null;2;1
23;B001-0000022;177;2;2019-02-17;"";null;null;null;null;2;1
24;B001-0000023;2.36;2.36;2019-02-17;2005;null;null;null;null;2;1
25;B001-0000024;2.36;2.36;2019-02-17;2005;null;null;null;null;2;1
26;B001-0000025;64.9;64.9;2019-02-17;2005;null;null;null;null;2;null
27;B001-0000026;2.36;2.36;2019-02-17;2005;null;null;null;null;2;1
28;B001-0000027;2.36;2.36;2019-02-17;2005;null;null;null;null;2;1
